FinalWgt,CR1,CR2,CR3,BRR4,BRR5,BRR6,BRR7,BRR8,BRR9,BRR10,BRR11,BRR12,BRR13,BRR14,CR7,CR8,CR9,CR10,BRR19,BRR20,CR12,BRR22,CR14,CR15,CR16,CR17,CR18,CR24,CR25,CR26,CR29,BRR32,BRR33,BRR34,CR30,BRR36,CR31,CR32,CR33,CR34,CR35,CR36,CR37,CR38,BRR45,CR40,CR41,BRR48,CR44,BRR50,CR45,CR46,CR47,CR49,BRR55,BRR56,CR53,BRR58,BRR59,CR54,CR55,BRR62,CR56,CR57,CR58,BRR66,BRR67,CR60,BRR69,BRR70,BRR71,Stratum,PSU
58.60411529,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,3,2,4,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,2,2,,3,2,3,2,4,3,5,1,2,3,3,1,1,4,1,1,2,1,4,2,2,3,2,201101010,19
58.60411529,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,3,2,4,1,1,1,1,2,4,2,1,1,1,1,1,1,1,1,1,2,2,2,3,2,3,2,3,2,5,4,2,3,3,1,2,3,3,1,2,1,4,2,4,3,2,201101010,19
58.60411529,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,3,2,4,2,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,2,2,4,1,2,2,4,2,5,1,2,3,3,1,1,3,2,2,1,1,3,2,3,3,2,201101010,19
58.60411529,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,3,2,4,2,1,1,2,1,4,1,1,1,1,1,1,1,1,1,1,2,1,2,3,2,3,2,4,2,5,4,2,3,3,1,2,3,2,3,2,1,3,2,4,3,2,201101010,19
58.60411529,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,2,4,2,1,1,1,1,1,1,1,1,1,1,2,3,4,3,3,2,4,3,5,4,2,1,1,1,2,3,2,1,2,1,4,2,3,3,2,201101010,19
58.60411529,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,4,2,4,2,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,2,3,1,4,4,2,3,3,1,2,4,2,1,2,1,4,2,3,3,2,201101010,19
58.60411529,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,4,2,4,2,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,2,2,4,3,5,1,2,1,1,1,2,4,2,1,6,1,4,2,4,3,2,201101010,19
58.60411529,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,4,3,4,2,1,1,1,2,4,1,1,2,1,1,1,1,1,1,1,2,2,2,3,2,2,2,3,1,3,2,2,1,1,1,2,4,3,1,2,1,4,2,1,3,2,201101010,19
58.60411529,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,3,1,1,2,1,4,1,4,2,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,2,2,4,3,4,2,4,3,5,1,2,1,1,1,1,3,3,1,2,1,4,2,3,3,2,201101010,19
59.88991283,1,4,1,1,2,1,2,1,1,1,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,3,3,4,1,1,1,1,1,4,2,2,2,2,1,1,1,1,1,1,1,1,1,3,2,3,2,4,2,3,3,2,1,1,3,2,3,2,2,5,1,3,1,4,2,2,201101010,19
59.88991283,1,5,1,1,4,1,1,1,6,2,3,1,1,2,1,1,2,2,7,2,2,1,3,1,2,2,4,3,4,2,3,1,1,1,2,1,1,1,1,2,2,6,3,2,4,1,1,2,2,3,3,2,4,2,5,4,2,1,1,3,2,3,3,3,3,1,3,1,2,2,1,201101010,19
59.88991283,1,5,2,4,5,1,1,4,7,3,3,2,6,4,3,1,2,2,1,6,4,1,1,,4,3,4,3,4,2,3,1,1,1,4,1,1,3,2,4,3,2,4,3,7,1,1,1,3,2,2,2,4,3,1,1,2,1,3,3,1,2,3,3,6,1,2,1,1,2,2,201101010,19
59.88991283,1,6,1,1,2,1,1,5,1,1,1,1,1,5,1,2,2,2,7,2,2,1,1,1,1,1,3,3,4,2,1,1,1,2,4,1,1,1,1,2,2,1,7,2,7,1,1,2,3,2,3,2,4,2,5,4,2,1,1,2,2,3,2,2,1,1,3,1,3,2,2,201101010,19
59.88991283,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,3,1,4,1,1,1,1,2,4,2,1,1,1,1,1,1,1,1,1,1,1,2,3,1,4,2,4,1,5,4,2,3,3,3,2,3,2,2,6,1,3,1,4,2,2,201101010,19
59.88991283,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,1,3,2,4,3,5,4,2,3,1,2,2,3,2,2,5,3,3,1,4,2,2,201101010,19
59.88991283,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,4,2,4,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,3,2,4,1,3,3,2,3,3,1,1,3,2,1,4,1,3,1,1,2,2,201101010,19
59.88991283,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,3,1,2,1,2,4,2,4,1,1,1,1,2,4,2,1,5,1,1,1,1,1,1,1,1,1,1,3,1,2,2,4,3,5,3,2,1,1,3,3,2,2,2,6,1,3,1,1,2,2,201101010,19
59.88991283,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,3,2,4,1,1,1,1,1,4,1,1,2,1,1,1,1,1,1,1,2,1,2,4,2,2,2,4,2,5,4,2,3,3,3,2,4,2,2,6,2,4,1,2,2,2,201101010,19
59.88991283,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,3,3,4,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,2,2,4,3,5,3,2,1,1,1,1,2,3,1,6,5,2,1,2,2,2,201101010,19
59.88991283,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,4,3,4,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,2,2,2,3,3,3,2,3,2,4,3,2,,1,2,1,3,2,2,1,1,3,1,2,2,2,201101010,19
59.88991283,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,4,2,4,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,4,2,2,2,3,1,5,1,2,3,1,1,1,3,3,3,1,1,3,1,2,2,2,201101010,19
59.88991283,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,3,4,1,2,1,1,4,2,4,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,2,4,3,5,4,2,1,1,2,2,2,2,2,1,1,3,1,2,2,2,201101010,19
59.88991283,,,1,1,6,,1,2,5,1,1,1,2,2,,1,2,1,2,7,2,3,3,,2,2,1,3,3,3,2,1,1,1,1,3,1,1,1,2,2,7,,2,3,2,2,3,3,1,2,2,4,2,5,4,1,3,3,2,2,4,3,1,1,1,4,1,2,2,2,201101010,19
73.54669101,1,4,4,7,8,3,1,2,6,3,1,8,6,4,3,1,1,1,7,8,4,4,4,1,4,2,4,2,4,3,1,1,1,1,4,1,5,5,2,3,3,2,2,3,2,1,1,1,3,1,3,2,4,2,1,3,2,2,1,1,1,4,1,1,3,5,6,1,1,3,2,201101010,19
73.54669101,1,5,2,2,7,1,1,5,2,1,3,8,6,5,1,2,2,2,1,2,3,1,1,1,1,1,3,2,4,2,2,1,1,1,4,1,1,2,1,2,1,4,7,2,7,1,1,1,3,2,3,2,4,2,5,1,2,3,3,1,2,4,2,2,6,1,4,1,1,3,2,201101010,19
73.54669101,1,6,,,2,1,1,1,3,1,3,8,3,2,3,2,1,2,7,5,3,5,3,1,2,1,1,2,1,2,1,2,1,1,4,3,3,2,1,2,2,3,3,3,7,2,2,3,1,3,1,1,1,3,1,2,2,2,2,1,2,5,1,1,2,1,8,1,6,3,2,201101010,19
73.54669101,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,4,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,4,1,2,1,1,1,1,3,1,1,2,1,4,1,2,3,2,201101010,19
73.54669101,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,4,1,1,1,2,1,4,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,2,2,4,2,5,4,2,1,1,1,1,4,1,1,2,1,3,1,2,3,2,201101010,19
73.54669101,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,2,4,1,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,3,2,4,2,5,4,2,3,3,1,2,3,2,1,1,1,4,1,4,3,1,201101010,19
73.54669101,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,2,4,2,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,1,2,1,2,1,4,2,3,3,1,2,4,3,3,6,1,4,1,2,3,2,201101010,19
73.54669101,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,3,4,2,3,1,1,2,4,2,1,,1,1,1,1,1,1,1,2,1,2,3,2,2,2,3,2,4,3,2,1,1,1,1,4,1,1,2,1,4,1,2,3,2,201101010,19
73.54669101,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,4,2,4,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,1,3,3,1,3,2,3,2,5,1,2,1,1,2,2,4,2,2,1,1,4,1,2,3,2,201101010,19
73.54669101,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,3,4,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,3,2,3,1,3,4,2,3,3,1,2,3,2,1,1,1,3,1,3,3,2,201101010,19
73.54669101,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,3,3,3,2,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,3,2,4,2,5,4,2,3,3,3,2,3,3,3,3,1,3,1,2,3,2,201101010,19
73.54669101,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,3,2,4,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,3,4,3,3,2,4,3,5,1,2,3,3,1,2,3,3,2,6,1,4,1,1,3,2,201101010,19
73.54669101,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,3,1,4,2,1,2,1,2,4,1,1,2,1,1,1,1,1,1,1,1,1,3,3,2,3,2,4,2,5,4,2,1,1,2,2,4,2,2,1,1,4,1,2,3,2,201101010,19
73.54669101,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,3,1,1,1,1,1,2,4,1,1,1,1,1,4,3,5,5,1,2,1,1,1,1,1,2,2,3,2,1,3,2,4,2,5,1,2,3,3,2,2,1,2,2,1,1,3,1,2,3,2,201101010,19
45.83158072,1,3,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,4,2,4,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,2,4,3,5,4,2,3,3,3,2,4,2,2,6,1,3,2,2,2,2,201101010,20
45.83158072,1,4,1,1,2,1,2,1,1,1,1,1,2,5,1,1,2,2,1,1,3,1,1,1,2,1,4,3,4,1,1,1,1,2,4,1,1,1,1,3,3,1,4,2,1,1,1,2,4,3,2,2,4,3,5,4,2,3,1,3,,2,2,2,6,1,3,2,2,2,2,201101010,20
45.83158072,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,,2,1,1,1,1,1,1,1,1,3,1,4,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,4,3,5,3,2,1,1,3,2,3,2,2,3,1,3,2,2,2,2,201101010,20
45.83158072,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,1,4,1,2,1,1,2,3,1,1,5,1,1,1,1,1,1,1,1,1,2,1,1,3,2,3,1,4,3,2,1,1,3,2,3,3,3,3,1,3,2,2,2,2,201101010,20
45.83158072,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,2,4,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,3,2,3,1,5,4,2,1,3,2,2,2,2,2,3,1,3,2,2,2,2,201101010,20
45.83158072,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,2,4,2,1,1,1,2,4,2,1,2,2,1,1,1,1,1,1,1,1,2,3,2,3,2,4,2,5,4,2,1,1,1,2,4,3,3,3,5,3,2,2,2,2,201101010,20
45.83158072,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,3,3,4,1,1,1,1,2,4,1,1,2,1,1,1,1,1,1,1,2,1,2,3,2,2,2,3,2,5,1,2,1,1,2,1,3,2,2,6,1,3,2,2,2,2,201101010,20
45.83158072,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,4,2,4,2,1,1,1,2,3,3,1,3,2,1,1,1,1,1,1,2,2,3,4,2,3,2,4,3,5,1,2,3,3,1,1,3,3,1,6,1,3,2,2,2,2,201101010,20
45.83158072,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,3,3,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,2,3,4,1,3,2,4,3,5,4,2,1,1,2,2,2,2,2,6,1,2,2,2,2,2,201101010,20
45.83158072,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,4,2,4,2,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,3,4,2,2,2,3,3,3,4,2,3,3,3,2,4,2,3,1,1,3,2,2,2,2,201101010,20
45.83158072,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,3,1,1,1,1,1,3,1,4,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,3,2,4,2,5,3,2,1,1,2,2,2,2,2,6,1,2,2,2,2,2,201101010,20
45.83158072,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,3,1,2,1,2,2,4,1,4,2,2,1,1,1,4,1,2,2,1,1,1,1,1,1,1,2,2,3,4,2,2,2,4,3,5,4,2,3,3,3,2,3,2,2,4,1,3,2,2,2,2,201101010,20
45.83158072,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,3,3,1,1,1,1,2,3,4,1,1,1,1,1,4,1,5,3,1,1,1,1,1,1,1,1,1,3,4,2,3,2,4,3,5,1,2,3,3,2,3,3,2,2,6,1,3,2,2,2,2,201101010,20
47.35930007,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,3,3,4,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,2,3,2,4,1,2,3,3,1,1,1,1,1,6,1,2,2,2,2,2,201101010,20
51.8111876,1,5,,,2,1,1,1,2,2,3,1,2,5,1,1,2,2,7,8,3,1,2,1,1,1,2,2,4,1,1,1,1,1,3,2,2,2,1,2,2,1,1,2,1,1,1,1,3,1,3,2,3,2,2,2,2,3,3,2,1,3,1,1,3,1,2,2,2,1,2,201101010,20
51.8111876,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,2,1,1,1,2,4,1,1,3,2,1,1,1,1,1,1,1,1,1,3,1,3,2,2,1,4,3,2,1,1,1,1,4,2,2,2,1,2,2,1,1,2,201101010,20
51.8111876,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,4,2,2,2,1,2,3,1,1,5,1,1,1,1,1,1,1,1,1,2,3,2,3,2,4,2,5,1,2,1,1,2,2,4,2,2,6,1,2,2,4,1,2,201101010,20
51.8111876,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,3,1,2,1,2,2,1,1,3,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,2,2,4,2,5,4,1,1,2,1,1,3,2,2,6,1,2,2,3,1,2,201101010,20
51.8111876,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,,2,2,1,1,1,1,1,2,1,1,3,3,4,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,2,4,3,5,4,2,1,1,1,2,1,2,1,2,1,2,2,2,1,2,201101010,20
51.8111876,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,7,6,1,4,2,1,1,1,3,3,4,4,1,1,1,1,4,1,2,3,1,1,1,1,1,1,1,1,1,2,2,1,2,2,3,1,4,4,1,3,2,2,2,4,3,2,6,1,2,2,2,1,2,201101010,20
51.8111876,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,4,2,4,1,3,1,1,1,4,3,2,2,1,1,1,1,1,1,1,1,1,3,1,2,4,2,4,2,5,1,2,1,1,1,2,2,2,3,3,5,2,2,2,1,2,201101010,20
51.8111876,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,4,3,4,1,1,2,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,2,3,3,5,4,2,1,3,3,2,3,2,1,3,1,1,2,2,1,2,201101010,20
51.8111876,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,4,2,1,2,2,1,2,4,2,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,4,2,5,,2,1,1,1,2,4,2,2,6,4,2,2,1,1,2,201101010,20
51.8111876,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,3,1,1,2,4,2,4,1,1,2,1,1,4,1,1,2,1,1,1,1,1,1,1,1,1,2,3,2,2,2,3,2,5,3,1,1,1,3,1,4,2,2,1,1,1,2,2,1,2,201101010,20
51.8111876,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,1,2,1,3,2,4,3,2,1,1,2,4,2,2,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,4,1,5,1,2,1,1,3,2,3,2,2,4,1,2,2,2,1,2,201101010,20
51.8111876,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,,1,3,1,1,1,1,1,1,4,2,4,1,1,1,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,2,3,1,3,,2,2,5,4,2,1,2,2,,3,3,3,6,1,2,2,2,1,2,201101010,20
51.87403385,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,3,2,4,1,1,1,1,1,4,3,1,3,1,1,1,1,1,1,1,1,1,1,3,3,2,2,3,1,5,3,2,3,3,1,2,2,2,2,1,1,4,1,2,1,2,201101010,20
53.60316831,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,,2,2,1,1,3,1,1,1,1,1,4,3,4,1,1,1,1,2,4,1,1,4,1,1,1,1,1,1,1,1,1,3,3,2,3,2,3,1,3,3,2,3,3,2,1,4,2,2,3,1,2,1,2,1,2,201101010,20
53.60316831,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,201101010,20
53.60316831,1,4,1,1,2,1,2,1,7,2,3,1,1,2,1,2,2,2,1,2,2,3,2,2,2,2,3,3,4,2,3,2,1,2,4,2,1,1,1,2,2,5,3,2,7,2,2,3,3,3,2,2,4,3,5,4,2,3,3,2,2,3,2,2,1,1,2,1,2,1,2,201101010,20
53.60316831,1,4,1,1,3,1,1,1,6,1,3,1,1,1,,1,2,1,7,1,2,2,2,2,2,2,2,2,4,2,4,2,1,1,4,,5,5,2,1,1,1,1,1,1,1,,3,3,3,2,2,4,3,5,2,1,1,3,2,,2,2,1,1,1,1,1,4,1,2,201101010,20
53.60316831,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,2,4,2,1,1,1,1,1,1,1,1,1,1,1,2,3,1,3,2,3,2,5,3,2,3,1,2,2,4,3,2,1,5,2,1,2,1,2,201101010,20
53.60316831,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,3,2,3,3,3,3,4,2,2,1,1,2,3,3,5,5,1,1,1,1,1,1,1,1,1,3,4,3,3,2,4,3,5,2,2,1,3,3,2,3,2,1,2,1,2,1,3,1,2,201101010,20
53.60316831,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,2,4,1,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,2,3,2,5,4,2,1,1,3,2,2,2,2,6,1,2,1,1,1,2,201101010,20
53.60316831,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,3,4,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,2,3,2,5,1,2,1,1,3,1,3,3,3,3,1,1,1,2,1,2,201101010,20
53.60316831,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,3,4,1,1,1,1,2,4,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,3,2,1,1,2,3,3,3,2,4,2,2,1,5,1,1,1,1,2,201101010,20
53.60316831,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,3,4,1,2,1,1,2,3,1,1,1,1,1,1,1,1,1,1,2,1,2,3,1,3,2,3,2,3,1,2,1,1,1,2,3,3,1,1,1,2,1,6,1,2,201101010,20
53.60316831,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,4,1,1,1,1,2,2,2,4,2,1,1,1,1,1,1,1,1,1,1,2,2,3,2,2,2,2,1,5,1,2,3,3,1,1,3,2,2,3,1,1,1,2,1,2,201101010,20
53.60316831,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,4,1,1,2,1,1,4,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,1,1,1,2,1,1,1,1,3,3,3,6,1,2,1,2,1,2,201101010,20
53.60316831,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,3,4,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,3,2,4,2,2,1,2,3,1,1,2,3,2,1,1,1,2,1,2,1,2,201101010,20
53.60316831,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,3,3,4,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,3,2,3,2,5,4,2,1,1,1,1,3,3,1,2,1,2,1,2,1,2,201101010,20
53.60316831,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,3,4,2,3,1,1,2,4,1,1,2,1,1,1,1,1,1,1,1,1,1,3,2,3,2,3,1,5,3,2,3,1,1,2,4,2,1,2,1,2,1,2,1,2,201101010,20
53.60316831,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,3,4,1,1,1,1,,4,1,1,1,2,1,1,1,1,1,1,2,2,3,2,3,2,2,1,1,1,1,2,2,1,1,2,1,3,2,1,2,1,1,2,1,2,201101010,20
54.95635315,1,5,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,2,7,2,2,1,3,1,3,2,2,3,4,2,2,1,1,2,4,2,1,1,1,2,4,3,4,3,3,2,2,3,3,2,2,2,4,3,5,4,2,3,3,3,2,4,3,2,1,5,3,1,2,2,2,201101010,20
54.95635315,1,5,1,1,5,1,1,1,1,1,3,1,1,2,1,1,1,2,7,6,2,3,3,1,3,2,2,2,4,2,2,1,1,2,3,2,4,5,1,2,4,3,3,3,3,2,2,2,3,2,2,2,4,3,5,4,2,3,3,3,2,4,3,3,1,5,4,1,1,2,2,201101010,20
54.95635315,1,5,1,1,5,1,1,1,6,2,1,1,2,4,1,1,1,2,7,6,2,2,3,1,3,1,1,3,4,2,1,1,1,1,4,2,3,4,1,2,3,4,3,2,3,1,1,2,3,1,2,2,4,1,2,4,2,1,1,1,1,3,2,2,5,1,3,1,2,2,2,201101010,20
54.95635315,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,3,4,2,1,1,1,2,4,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,4,3,5,4,1,3,2,3,1,3,3,2,2,1,3,1,2,2,2,201101010,20
54.95635315,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,4,3,4,1,3,1,1,,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,2,4,3,5,1,2,3,3,1,2,3,3,3,1,1,3,,2,2,2,201101010,20
54.95635315,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,7,6,3,1,2,1,2,3,3,2,4,2,3,2,1,2,2,2,1,5,2,1,1,1,1,1,1,2,1,2,4,3,3,1,2,3,3,2,2,2,2,2,2,4,2,2,1,4,3,1,2,2,2,201101010,20
54.95635315,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,3,2,4,2,2,1,1,1,4,2,2,1,1,1,1,1,1,1,1,2,2,3,4,3,3,2,4,3,5,4,2,3,3,3,1,3,2,3,6,1,3,1,2,2,2,201101010,20
54.95635315,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,4,2,1,1,1,1,1,1,4,1,4,1,1,1,1,1,1,1,1,1,1,2,3,1,3,2,4,2,5,4,2,3,3,1,2,4,2,3,6,1,3,1,2,2,2,201101010,20
